permit_id,vehicle_id,dispatched_quantity,dispatch_time,allowed_quantity,quantity_difference,over_dispatch,permit_status,anomaly_flag,anomaly_status,route_status,final_risk
P1000,V000,781,2026-01-27 15:27,899,-118,False,Normal,1,Normal,Normal,Normal
P1001,V001,1830,2026-01-27 20:27,1875,-45,False,Normal,1,Normal,Normal,Normal
P1002,V002,1061,2026-01-27 22:27,1132,-71,False,Normal,1,Normal,Normal,Normal
P1003,V003,1477,2026-01-28 02:27,1275,202,True,Violation,1,Normal,Normal,High Risk
P1004,V004,1280,2026-01-27 22:27,1377,-97,False,Normal,1,Normal,Deviated,High Risk
P1005,V005,1254,2026-01-27 13:27,1061,193,True,Violation,1,Normal,Normal,High Risk
P1006,V006,855,2026-01-28 03:27,1037,-182,False,Normal,1,Normal,Normal,Normal
P1007,V007,1410,2026-01-27 11:27,1536,-126,False,Normal,1,Normal,Normal,Normal
P1008,V008,671,2026-01-27 08:27,867,-196,False,Normal,-1,Anomaly,Normal,High Risk
P1009,V009,1176,2026-01-27 16:27,1261,-85,False,Normal,1,Normal,Deviated,High Risk
P1010,V010,2038,2026-01-27 16:27,1592,446,True,Violation,-1,Anomaly,Normal,High Risk
P1011,V011,1492,2026-01-28 02:27,1500,-8,False,Normal,1,Normal,Deviated,High Risk
P1012,V012,1816,2026-01-28 00:27,1393,423,True,Violation,-1,Anomaly,Normal,High Risk
P1013,V013,1870,2026-01-27 07:27,1976,-106,False,Normal,1,Normal,Normal,Normal
P1014,V014,917,2026-01-27 08:27,917,0,False,Normal,1,Normal,Normal,Normal
P1015,V015,1461,2026-01-28 00:27,1628,-167,False,Normal,1,Normal,Normal,Normal
P1016,V016,754,2026-01-27 07:27,778,-24,False,Normal,-1,Anomaly,Normal,High Risk
P1017,V017,1769,2026-01-28 03:27,1824,-55,False,Normal,1,Normal,Normal,Normal
P1018,V018,612,2026-01-28 06:27,737,-125,False,Normal,-1,Anomaly,Normal,High Risk
P1019,V019,1249,2026-01-28 03:27,1346,-97,False,Normal,1,Normal,Normal,Normal
P1020,V020,1385,2026-01-27 12:27,1479,-94,False,Normal,1,Normal,Normal,Normal
P1021,V021,823,2026-01-28 05:27,943,-120,False,Normal,1,Normal,Normal,Normal
P1022,V022,1029,2026-01-27 18:27,1099,-70,False,Normal,1,Normal,Deviated,High Risk
P1023,V023,1116,2026-01-28 02:27,1190,-74,False,Normal,1,Normal,Normal,Normal
P1024,V024,1029,2026-01-27 19:27,1216,-187,False,Normal,1,Normal,Normal,Normal
P1025,V025,1667,2026-01-27 23:27,1827,-160,False,Normal,1,Normal,Normal,Normal
P1026,V026,996,2026-01-28 04:27,1116,-120,False,Normal,1,Normal,Normal,Normal
P1027,V027,818,2026-01-28 03:27,850,-32,False,Normal,1,Normal,Normal,Normal
P1028,V028,1179,2026-01-27 19:27,1288,-109,False,Normal,1,Normal,Normal,Normal
P1029,V029,1891,2026-01-27 11:27,1973,-82,False,Normal,1,Normal,Deviated,High Risk
P1030,V030,1555,2026-01-28 05:27,1688,-133,False,Normal,1,Normal,Normal,Normal
P1031,V031,1397,2026-01-27 15:27,1425,-28,False,Normal,1,Normal,Normal,Normal
P1032,V032,1924,2026-01-28 01:27,1960,-36,False,Normal,1,Normal,Normal,Normal
P1033,V033,1148,2026-01-28 05:27,1170,-22,False,Normal,1,Normal,Normal,Normal
P1034,V034,816,2026-01-27 09:27,1011,-195,False,Normal,1,Normal,Normal,Normal
P1035,V035,769,2026-01-27 13:27,775,-6,False,Normal,-1,Anomaly,Normal,High Risk
P1036,V036,1072,2026-01-28 01:27,1211,-139,False,Normal,1,Normal,Normal,Normal
P1037,V037,1506,2026-01-28 04:27,1578,-72,False,Normal,1,Normal,Deviated,High Risk
P1038,V038,2214,2026-01-27 11:27,1996,218,True,Violation,-1,Anomaly,Deviated,High Risk
P1039,V039,1497,2026-01-28 05:27,1648,-151,False,Normal,1,Normal,Normal,Normal
P1040,V040,916,2026-01-27 16:27,950,-34,False,Normal,1,Normal,Normal,Normal
P1041,V041,1662,2026-01-27 11:27,1332,330,True,Violation,-1,Anomaly,Normal,High Risk
P1042,V042,1713,2026-01-27 23:27,1733,-20,False,Normal,1,Normal,Deviated,High Risk
P1043,V043,1494,2026-01-27 08:27,1623,-129,False,Normal,1,Normal,Normal,Normal
P1044,V044,1452,2026-01-27 15:27,1273,179,True,Violation,1,Normal,Normal,High Risk
P1045,V045,1108,2026-01-27 23:27,1222,-114,False,Normal,1,Normal,Normal,Normal
P1046,V046,885,2026-01-27 21:27,1055,-170,False,Normal,1,Normal,Normal,Normal
P1047,V047,1531,2026-01-27 17:27,1635,-104,False,Normal,1,Normal,Normal,Normal
P1048,V048,1182,2026-01-27 13:27,1366,-184,False,Normal,1,Normal,Normal,Normal
P1049,V049,1048,2026-01-28 06:27,1168,-120,False,Normal,1,Normal,Normal,Normal
P1050,V050,940,2026-01-28 06:27,951,-11,False,Normal,1,Normal,Normal,Normal
P1051,V051,638,2026-01-27 19:27,781,-143,False,Normal,-1,Anomaly,Deviated,High Risk
P1052,V052,1493,2026-01-27 11:27,1053,440,True,Violation,-1,Anomaly,Deviated,High Risk
P1053,V053,1261,2026-01-28 02:27,1367,-106,False,Normal,1,Normal,Normal,Normal
P1054,V054,1769,2026-01-28 03:27,1858,-89,False,Normal,1,Normal,Normal,Normal
P1055,V055,1279,2026-01-27 16:27,1397,-118,False,Normal,1,Normal,Normal,Normal
P1056,V056,1445,2026-01-27 23:27,1631,-186,False,Normal,1,Normal,Normal,Normal
P1057,V057,1237,2026-01-27 11:27,1308,-71,False,Normal,1,Normal,Normal,Normal
P1058,V058,1964,2026-01-28 06:27,1862,102,True,Violation,-1,Anomaly,Normal,High Risk
P1059,V059,1316,2026-01-27 12:27,835,481,True,Violation,-1,Anomaly,Deviated,High Risk
P1060,V060,931,2026-01-28 04:27,1131,-200,False,Normal,1,Normal,Normal,Normal
P1061,V061,877,2026-01-27 19:27,959,-82,False,Normal,1,Normal,Normal,Normal
P1062,V062,666,2026-01-27 09:27,742,-76,False,Normal,-1,Anomaly,Normal,High Risk
P1063,V063,879,2026-01-27 07:27,941,-62,False,Normal,1,Normal,Normal,Normal
P1064,V064,1220,2026-01-27 13:27,1395,-175,False,Normal,1,Normal,Normal,Normal
P1065,V065,1240,2026-01-27 22:27,924,316,True,Violation,1,Normal,Normal,High Risk
P1066,V066,1672,2026-01-27 20:27,1809,-137,False,Normal,1,Normal,Normal,Normal
P1067,V067,1313,2026-01-27 16:27,1340,-27,False,Normal,1,Normal,Normal,Normal
P1068,V068,1071,2026-01-27 13:27,1135,-64,False,Normal,1,Normal,Normal,Normal
P1069,V069,1911,2026-01-27 11:27,1948,-37,False,Normal,1,Normal,Normal,Normal
P1070,V070,786,2026-01-27 13:27,816,-30,False,Normal,1,Normal,Normal,Normal
P1071,V071,1756,2026-01-28 01:27,1354,402,True,Violation,-1,Anomaly,Normal,High Risk
P1072,V072,980,2026-01-27 12:27,819,161,True,Violation,1,Normal,Normal,High Risk
P1073,V073,2266,2026-01-27 07:27,1769,497,True,Violation,-1,Anomaly,Normal,High Risk
P1074,V074,1969,2026-01-28 05:27,1619,350,True,Violation,-1,Anomaly,Normal,High Risk
P1075,V075,1420,2026-01-27 20:27,1579,-159,False,Normal,1,Normal,Normal,Normal
P1076,V076,2420,2026-01-27 15:27,1973,447,True,Violation,-1,Anomaly,Deviated,High Risk
P1077,V077,1586,2026-01-28 02:27,1660,-74,False,Normal,1,Normal,Normal,Normal
P1078,V078,1142,2026-01-27 13:27,1175,-33,False,Normal,1,Normal,Normal,Normal
P1079,V079,860,2026-01-28 06:27,1009,-149,False,Normal,1,Normal,Normal,Normal
P1080,V080,827,2026-01-27 08:27,907,-80,False,Normal,1,Normal,Normal,Normal
P1081,V081,1784,2026-01-28 04:27,1917,-133,False,Normal,1,Normal,Deviated,High Risk
P1082,V082,1084,2026-01-27 11:27,1176,-92,False,Normal,1,Normal,Normal,Normal
P1083,V083,807,2026-01-28 04:27,999,-192,False,Normal,1,Normal,Normal,Normal
P1084,V084,974,2026-01-27 13:27,1133,-159,False,Normal,1,Normal,Normal,Normal
P1085,V085,888,2026-01-28 03:27,931,-43,False,Normal,1,Normal,Normal,Normal
P1086,V086,1915,2026-01-27 17:27,1919,-4,False,Normal,1,Normal,Normal,Normal
P1087,V087,1158,2026-01-28 02:27,732,426,True,Violation,-1,Anomaly,Normal,High Risk
P1088,V088,832,2026-01-28 05:27,926,-94,False,Normal,1,Normal,Deviated,High Risk
P1089,V089,1479,2026-01-27 16:27,1533,-54,False,Normal,1,Normal,Deviated,High Risk
P1090,V090,621,2026-01-28 01:27,752,-131,False,Normal,-1,Anomaly,Normal,High Risk
P1091,V091,1548,2026-01-28 04:27,1689,-141,False,Normal,1,Normal,Normal,Normal
P1092,V092,1153,2026-01-28 02:27,1320,-167,False,Normal,1,Normal,Deviated,High Risk
P1093,V093,1114,2026-01-28 04:27,1309,-195,False,Normal,1,Normal,Normal,Normal
P1094,V094,2220,2026-01-27 23:27,1922,298,True,Violation,-1,Anomaly,Normal,High Risk
P1095,V095,1167,2026-01-27 17:27,1242,-75,False,Normal,1,Normal,Normal,Normal
P1096,V096,1866,2026-01-27 19:27,1968,-102,False,Normal,1,Normal,Normal,Normal
P1097,V097,947,2026-01-27 23:27,1019,-72,False,Normal,1,Normal,Normal,Normal
P1098,V098,1669,2026-01-27 09:27,1809,-140,False,Normal,1,Normal,Normal,Normal
P1099,V099,1743,2026-01-28 05:27,1780,-37,False,Normal,1,Normal,Normal,Normal
